gameName, platform, drugRef, blood, bloodAndGore, cartoonViolence, fantasyViolence, animatedBlood, alcoholRef, crudeHumor
Secret of Mana,  SNES,  0,  0,  0,  0,  1,  0,  0,  0
Romancing SaGa 2,  SNES,  0,  1,  0,  0,  1,  0,  0,  0
Dragon's Lair Trilogy,  Wii,  0,  1,  0,  0,  0,  0,  0,  0
Vegas Party,  Wii,  0,  0,  0,  0,  0,  0,  0,  0
LocoRoco 2,  PSP,  0,  0,  0,  0,  0,  0,  0,  0
Tokyo Xanadu eX+,  PS4,  1,  0,  0,  0,  0,  0,  0,  0
Rocket League,  PC,  0,  0,  0,  0,  0,  0,  0,  0
Rocket League,  PS4,  0,  0,  0,  0,  0,  0,  0,  0
Rocket League,  XOne,  0,  0,  0,  0,  0,  0,  0,  0
L.A. Noire,  PS3,  0,  0,  1,  0,  0,  0,  0,  0
L.A. Noire,  X360,  0,  0,  1,  0,  0,  0,  0,  0
de Blob,  Wii,  0,  0,  0,  0,  0,  0,  0,  0
Fishing Master,  Wii,  0,  0,  0,  0,  0,  0,  0,  0
The Inner World,  PC,  0,  0,  0,  0,  0,  0,  0,  0
Ys VIII: Lacrimosa of Dana,  PSV,  0,  1,  0,  0,  0,  0,  0,  0
Zero Escape: Zero Time Dilemma,  3DS,  0,  1,  0,  0,  0,  0,  0,  0
Zero Escape: Zero Time Dilemma,  PSV,  0,  1,  0,  0,  0,  0,  0,  0
